Date,DE40Cash_profit,DE40Cash_lot,Date,Price,Open,High,Low,Vol.,Change %,DE40Cash_China_profit,DE40Cash_China_lot,DE40Cash_World_profit,DE40Cash_World_lot
27/11/2024,46210.32,152.61,11/27/2024,19261.75,19257.77,19287.04,19145.01,51.79M,-0.18%,1163.26,5.15,34.54,0.10
28/11/2024,28017.73,108.63,11/28/2024,19425.73,19366.72,19437.57,19346.59,42.53M,0.85%,-47.36,1.62,-26.17,0.78
29/11/2024,35079.96,100.78,11/29/2024,19626.45,19400.38,19640.15,19380.21,52.16M,1.03%,83.67,4.10,411.30,2.62
02/12/2024,13891.33,67.66,12/2/2024,19933.62,19586.17,19933.62,19568.50,63.21M,1.57%,-1577.85,6.69,329.90,5.52
03/12/2024,-370.96,29.54,12/3/2024,20016.75,19947.18,20038.01,19926.26,63.23M,0.42%,-1015.44,4.92,412.97,0.85
04/12/2024,-3113.20,45.69,12/4/2024,20232.14,20103.89,20260.61,20085.31,63.42M,1.08%,2880.83,16.35,237.47,1.79
05/12/2024,4502.82,33.23,12/5/2024,20358.80,20218.29,20373.43,20216.33,58.27M,0.63%,30.85,1.05,217.67,2.02
06/12/2024,13773.26,36.02,12/6/2024,20384.61,20374.54,20425.86,20331.24,61.61M,0.13%,-52.27,0.20,46.62,1.89
09/12/2024,40776.96,155.76,12/9/2024,20345.96,20461.85,20461.85,20318.26,58.79M,-0.19%,-658.47,4.56,84.43,0.29
10/12/2024,-5112.67,105.40,12/10/2024,20329.16,20278.74,20393.86,20277.63,66.18M,-0.08%,507.54,3.35,44.00,0.72
11/12/2024,-1527.30,26.73,12/11/2024,20399.16,20296.19,20415.41,20292.86,59.73M,0.34%,-2.68,0.06,38.29,0.41
12/12/2024,11148.39,37.70,12/12/2024,20426.27,20440.07,20453.44,20388.03,55.68M,0.13%,19.02,0.28,-6.38,0.05
13/12/2024,1822.30,28.18,12/13/2024,20405.92,20450.96,20522.82,20367.12,52.02M,-0.10%,-2005.68,20.82,101.76,0.25
16/12/2024,-19293.86,37.66,12/16/2024,20313.81,20360.75,20387.88,20304.78,64.21M,-0.45%,2004.90,19.46,-4377.80,0.78
17/12/2024,-20470.25,49.35,12/17/2024,20246.37,20290.96,20356.58,20241.50,70.86M,-0.33%,3185.01,35.38,-2653.73,0.46
18/12/2024,-14966.24,51.17,12/18/2024,20242.57,20273.85,20329.67,20241.98,62.49M,-0.02%,-18284.75,15.91,-74.27,0.37
19/12/2024,-7368.33,82.43,12/19/2024,19969.86,20032.05,20105.10,19959.18,70.05M,-1.35%,-2478.03,10.10,86.05,0.16
20/12/2024,7078.66,55.62,12/20/2024,19884.75,19822.87,19924.70,19649.87,135.98M,-0.43%,9750.20,69.83,3925.10,30.58
23/12/2024,-1738.84,48.57,12/23/2024,19848.77,19847.97,19901.32,19805.57,38.34M,-0.18%,28215.61,41.87,19.20,0.04
27/12/2024,-2561.84,21.40,12/27/2024,19984.32,19831.68,19984.32,19801.33,43.40M,0.68%,-228.58,0.95,19.32,0.04
30/12/2024,598.91,17.43,12/30/2024,19909.14,19892.97,19978.00,19882.67,26.66M,-0.38%,-4396.72,32.84,147.31,0.16
02/01/2025,-3138.47,20.27,1/2/2025,20024.66,19923.07,20024.79,19833.82,52.45M,0.58%,134.72,1.13,65.02,0.32
03/01/2025,-8486.39,54.36,1/3/2025,19906.08,20028.40,20031.11,19868.14,44.37M,-0.59%,-4830.54,36.33,50.29,0.22
